,Games,Game Type,Turns,Victory Status,Winner,Increment Code,White Id,White Rating,Black Id,Black Rating,Opening ECO,Opening Name,Rating Difference,Date,Time,Winner Id
5,5,Unrated,5,draw,draw,10+0,trelynn17,1250,franklin14532,1002,B27,Sicilian Defense: Mongoose Variation,248,2017-09-01,04:26:40,
40,40,Unrated,32,draw,draw,20+25,white_queen_1990,1207,shivangithegenius,978,B70,Sicilian Defense: Dragon Variation,229,2017-07-10,15:20:00,
98,98,Rated,113,draw,draw,15+0,avelez8,1745,anonymous1705,1714,D06,Queen's Gambit Refused: Marshall Defense,31,2017-08-31,17:20:00,
126,126,Rated,120,draw,draw,15+15,sureka_akshat,1139,sassou,1212,C50,Four Knights Game: Italian Variation,73,2017-08-28,08:46:40,
143,143,Rated,12,draw,draw,15+15,sassou,1215,lumipa,1219,C50,Italian Game,4,2017-08-18,21:00:00,
181,181,Rated,107,draw,draw,15+5,isachess,1866,claudiucojo,1835,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,31,2017-08-04,20:53:20,
220,220,Rated,150,draw,draw,15+1,taranga,1259,moon50,1663,C55,Italian Game: Anti-Fried Liver Defense,404,2017-08-23,17:40:00,
227,227,Rated,137,draw,draw,10+0,rinoooo,1568,dbschultz,1617,C50,Italian Game,49,2017-08-09,00:53:20,
239,239,Rated,110,draw,draw,15+3,thegrim123321,1372,merthy70,1326,B00,St. George Defense,46,2017-08-19,02:33:20,
269,269,Unrated,82,draw,draw,10+0,pkgirpade,1516,eideral,1552,A03,Bird Opening,36,2016-09-02,18:13:20,
291,291,Rated,69,draw,draw,20+0,nadanadora,1611,qaisahleyorof,2059,D46,Semi-Slav Defense: Chigorin Defense,448,2017-08-12,15:00:00,
301,301,Rated,99,draw,draw,10+0,lagos16,1449,doom12384,1597,C48,Four Knights Game: Ranken Variation,148,2017-08-29,23:40:00,
319,319,Rated,48,draw,draw,10+0,tfeng,1618,wahana81,1609,C00,French Defense: Knight Variation,9,2017-08-31,14:33:20,
326,326,Rated,114,draw,draw,10+0,bishopkerry01,1693,tfeng,1621,E61,Indian Game: West Indian Defense,72,2017-08-29,23:40:00,
350,350,Rated,71,draw,draw,10+0,tfeng,1570,rmorais23,1555,C55,Italian Game: Anti-Fried Liver Defense,15,2017-08-27,21:40:00,
360,360,Rated,92,draw,draw,8+10,tienc12345,1926,elham1,1737,A04,Zukertort Opening: Queenside Fianchetto Variation,189,2017-08-04,09:46:40,
382,382,Rated,71,draw,draw,10+0,ck666,1071,rustam9,1068,D00,Queen's Pawn Game: Mason Attack,3,2017-08-07,21:06:40,
406,406,Rated,110,draw,draw,15+10,cagliostro97,1588,metaxas,1691,C50,Italian Game: Giuoco Pianissimo |  Normal,103,2017-08-22,02:46:40,
440,440,Rated,195,draw,draw,10+0,kyanh,1496,tossinov,1703,A48,London System,207,2017-08-04,04:13:20,
446,446,Rated,63,draw,draw,5+8,kyanh,1465,herbertfj,1659,A81,Dutch Defense: Fianchetto Attack,194,2017-08-02,10:33:20,
451,451,Rated,46,draw,draw,7+5,jobwoge,1356,kyanh,1491,B01,Scandinavian Defense,135,2017-08-02,07:46:40,
465,465,Rated,116,draw,draw,5+5,aloe78,1596,fischerdipper,1686,A40,Modern Defense,90,2017-08-18,18:13:20,
476,476,Rated,128,draw,draw,10+3,fischerdipper,1686,coco31,1098,B00,Carr Defense,588,2017-08-16,16:13:20,
487,487,Rated,135,draw,draw,5+5,fischerdipper,1696,elio12,1564,A10,English Opening: Great Snake Variation,132,2017-08-15,15:13:20,
516,516,Rated,57,draw,draw,15+2,tensors,1350,djjohnson,1429,D35,Queen's Gambit Declined: Exchange Variation |  Positional Variation,79,2017-08-04,18:06:40,
552,552,Rated,86,draw,draw,15+15,hill_j,1156,dezinto,886,C50,Italian Game,270,2017-08-15,01:20:00,
576,576,Rated,48,draw,draw,10+0,sanmarco,1945,roman12342005,1961,B01,Scandinavian Defense: Marshall Variation,16,2017-08-31,20:06:40,
577,577,Rated,56,draw,draw,10+0,tolia,1982,roman12342005,1960,B01,Scandinavian Defense,22,2017-08-31,20:06:40,
584,584,Rated,148,draw,draw,10+0,kingpong,1914,roman12342005,1965,B01,Scandinavian Defense: Modern Variation #2,51,2017-08-31,17:20:00,
600,600,Unrated,158,draw,draw,5+5,megatirfan,1617,total_chess,2050,A48,London System,433,2017-09-01,15:33:20,
634,634,Rated,11,draw,draw,7+5,dmitry1111,1234,ntam,1335,D02,Queen's Pawn Game: Symmetrical Variation,101,2017-04-26,18:06:40,
756,756,Rated,178,draw,draw,5+5,happyspyros,2153,amir2002zzz,2474,D02,Queen's Pawn Game: Symmetrical Variation |  Pseudo-Catalan,321,2017-07-14,08:13:20,
