,Games,Game Type,Turns,Victory Status,Winner,Increment Code,White Id,White Rating,Black Id,Black Rating,Opening ECO,Opening Name,Rating Difference,Date,Time,Winner Id
0,0,Unrated,13,OFT,white,15+2,bourgris,1500,a-00,1191,D10,Slav Defense: Exchange Variation,309,2017-08-31,20:06:40,bourgris
1,1,Rated,16,resign,black,5+10,a-00,1322,skinnerua,1261,B00,Nimzowitsch Defense: Kennedy Variation,61,2017-08-30,21:53:20,skinnerua
2,2,Rated,61,mate,white,5+10,ischia,1496,a-00,1500,C20,King's Pawn Game: Leonardis Variation,4,2017-08-30,21:53:20,ischia
3,3,Rated,61,mate,white,20+0,daniamurashov,1439,adivanov2009,1454,D02,Queen's Pawn Game: Zukertort Variation,15,2017-08-30,16:20:00,daniamurashov
4,4,Rated,95,mate,white,30+3,nik221107,1523,adivanov2009,1469,C41,Philidor Defense,54,2017-08-29,18:06:40,nik221107
5,5,Unrated,5,draw,draw,10+0,trelynn17,1250,franklin14532,1002,B27,Sicilian Defense: Mongoose Variation,248,2017-09-01,04:26:40,
6,6,Rated,33,resign,white,10+0,capa_jr,1520,daniel_likes_chess,1423,D00,Blackmar-Diemer Gambit: Pietrowsky Defense,97,2017-09-01,01:40:00,capa_jr
7,7,Unrated,9,resign,black,15+30,daniel_likes_chess,1413,soultego,2108,B00,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,695,2017-08-25,16:53:20,soultego
8,8,Rated,66,resign,black,15+0,ehabfanri,1439,daniel_likes_chess,1392,C50,Italian Game: Schilling-Kostic Gambit,47,2017-08-23,17:40:00,daniel_likes_chess
9,9,Rated,119,mate,white,10+0,daniel_likes_chess,1381,mirco25,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,172,2017-08-22,22:13:20,daniel_likes_chess
10,10,Unrated,39,mate,white,20+60,daniel_likes_chess,1381,anaissac,1272,A00,Van't Kruijs Opening,109,2017-08-21,21:13:20,daniel_likes_chess
11,11,Unrated,38,resign,black,20+60,daniel_likes_chess,1381,subham777,1867,C02,French Defense: Advance Variation |  Paulsen Attack,486,2017-08-21,21:13:20,subham777
12,12,Unrated,60,resign,black,5+40,daniel_likes_chess,1381,roman12342005,1936,C00,French Defense: Knight Variation,555,2017-08-21,21:13:20,roman12342005
13,13,Unrated,31,resign,black,8+0,daniel_likes_chess,1381,alkhan,1607,C00,French Defense #2,226,2017-08-21,18:26:40,alkhan
14,14,Unrated,31,mate,white,15+15,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,47,2017-08-30,13:33:20,shivangithegenius
15,15,Unrated,43,resign,black,15+15,sureka_akshat,1141,shivangithegenius,1094,C57,Italian Game: Two Knights Defense |  Knight Attack,47,2017-08-30,10:46:40,shivangithegenius
