,Games,Game Type,Turns,Victory Status,Winner,Increment Code,White Id,White Rating,Black Id,Black Rating,Opening ECO,Opening Name,Rating Difference,Date,Time,Winner Id
2,2,Rated,61,mate,white,5+10,ischia,1496,a-00,1500,C20,King's Pawn Game: Leonardis Variation,4,2017-08-30,21:53:20,ischia
3,3,Rated,61,mate,white,20+0,daniamurashov,1439,adivanov2009,1454,D02,Queen's Pawn Game: Zukertort Variation,15,2017-08-30,16:20:00,daniamurashov
4,4,Rated,95,mate,white,30+3,nik221107,1523,adivanov2009,1469,C41,Philidor Defense,54,2017-08-29,18:06:40,nik221107
9,9,Rated,119,mate,white,10+0,daniel_likes_chess,1381,mirco25,1209,B01,Scandinavian Defense: Mieses-Kotroc Variation,172,2017-08-22,22:13:20,daniel_likes_chess
10,10,Unrated,39,mate,white,20+60,daniel_likes_chess,1381,anaissac,1272,A00,Van't Kruijs Opening,109,2017-08-21,21:13:20,daniel_likes_chess
14,14,Unrated,31,mate,white,15+15,shivangithegenius,1094,sureka_akshat,1141,C50,Four Knights Game: Italian Variation,47,2017-08-30,13:33:20,shivangithegenius
17,17,Unrated,66,mate,black,15+16,sureka_akshat,1141,shivangithegenius,1094,C50,Four Knights Game: Italian Variation,47,2017-08-29,12:33:20,shivangithegenius
25,25,Rated,69,mate,white,10+10,shivangithegenius,1078,sureka_akshat,1219,D01,Queen's Pawn Game: Chigorin Variation,141,2017-08-15,06:53:20,shivangithegenius
27,27,Rated,54,mate,black,10+10,mannat1,1328,shivangithegenius,1038,D01,Queen's Pawn Game: Chigorin Variation,290,2017-08-15,06:53:20,shivangithegenius
29,29,Rated,66,mate,black,10+10,shivangithegenius,1077,chinmaysharma,1148,D06,Queen's Gambit Refused: Marshall Defense,71,2017-08-15,06:53:20,chinmaysharma
31,31,Rated,64,mate,black,10+10,rv0209,1200,shivangithegenius,1002,B52,Sicilian Defense: Canal Attack |  Main Line,198,2017-08-15,06:53:20,shivangithegenius
48,48,Unrated,35,mate,white,40+40,rajuppi,2436,shivangithegenius,978,B77,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,1458,2017-07-02,15:40:00,rajuppi
49,49,Unrated,41,mate,white,40+40,rajuppi,2436,shivangithegenius,978,B01,Scandinavian Defense: Mieses-Kotroc Variation,1458,2017-06-25,17:00:00,rajuppi
52,52,Unrated,53,mate,white,10+0,shivangithegenius,978,lucasimeon,1500,A80,Dutch Defense,522,2017-06-19,19:20:00,shivangithegenius
64,64,Rated,40,mate,black,5+10,porquepepe,1618,oldpaths,1568,C00,French Defense #2,50,2017-08-29,01:26:40,oldpaths
70,70,Rated,62,mate,black,20+5,oldpaths,1579,fcolpo,1470,A41,Queen's Pawn,109,2017-08-26,01:13:20,fcolpo
71,71,Rated,87,mate,white,20+5,chesschumpchamp,1617,oldpaths,1590,A45,Indian Game,27,2017-08-25,22:26:40,chesschumpchamp
72,72,Rated,54,mate,black,20+5,aminox,1207,oldpaths,1588,C02,French Defense: Advance |  Steinitz Variation,381,2017-08-25,22:26:40,oldpaths
79,79,Rated,64,mate,black,15+5,zoro55,1768,oldpaths,1560,C00,French Defense: La Bourdonnais Variation,208,2017-08-24,04:46:40,oldpaths
