,Games,Game Type,Turns,Victory Status,Winner,Increment Code,White Id,White Rating,Black Id,Black Rating,Opening ECO,Opening Name,Rating Difference,Date,Time,Winner Id
0,0,Unrated,13,OFT,white,15+2,bourgris,1500,a-00,1191,D10,Slav Defense: Exchange Variation,309,2017-08-31,20:06:40,bourgris
101,101,Rated,75,OFT,white,10+0,avelez8,1724,vincenzo2000,1855,C45,Scotch Game,131,2017-08-24,02:00:00,avelez8
103,103,Rated,81,OFT,white,10+0,avelez8,1726,pavankumarg,1388,C41,Philidor Defense,338,2017-08-24,02:00:00,avelez8
108,108,Rated,137,OFT,white,10+0,avelez8,1746,frynoodles,1487,D20,Queen's Gambit Accepted: Old Variation,259,2017-08-24,02:00:00,avelez8
119,119,Rated,49,OFT,white,8+0,cdvh,1724,capito2017,1958,A43,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,234,2017-08-24,15:53:20,cdvh
122,122,Rated,26,OFT,black,15+15,mosheaugustyn,1244,sassou,1219,B00,Nimzowitsch Defense: Mikenas Variation,25,2017-08-30,08:00:00,sassou
156,156,Rated,65,OFT,white,7+2,isachess,1852,roshan_ie,1852,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0,2017-08-28,19:53:20,isachess
160,160,Rated,65,OFT,white,10+0,isachess,1853,tartetatin,1774,C65,Ruy Lopez: Berlin Defense #2,79,2017-08-25,03:00:00,isachess
165,165,Rated,69,OFT,white,8+0,javier_temperley,1855,isachess,1858,E00,Amar Opening,3,2017-08-23,03:46:40,javier_temperley
170,170,Rated,100,OFT,black,15+0,demetrio50,1840,isachess,1837,B22,Sicilian Defense: Alapin Variation,3,2017-08-22,19:26:40,isachess
173,173,Rated,40,OFT,black,10+0,azcatdave,1854,isachess,1849,A45,Paleface Attack,5,2017-08-20,03:33:20,isachess
174,174,Rated,105,OFT,white,10+0,fikr,1895,isachess,1859,B50,Sicilian Defense,36,2017-08-19,05:20:00,fikr
176,176,Unrated,144,OFT,draw,10+0,isachess,1866,teguhmaster,1843,B50,Sicilian Defense,23,2017-08-18,21:00:00,
194,194,Rated,53,OFT,white,12+0,patrizio67,1331,taranga,1281,D00,Queen's Pawn Game #3,50,2017-08-31,11:46:40,patrizio67
204,204,Unrated,101,OFT,white,7+2,blassterkal,1431,taranga,1289,C22,Center Game: Normal Variation,142,2017-08-26,09:33:20,blassterkal
211,211,Unrated,21,OFT,white,5+8,taranga,1289,snapper,1500,C41,Philidor Defense #3,211,2017-08-25,16:53:20,taranga
223,223,Rated,88,OFT,black,10+0,taranga,1222,madara21,1732,B32,Sicilian Defense: Open #3,510,2017-08-21,18:26:40,madara21
228,228,Rated,97,OFT,white,10+0,dbschultz,1500,nienkotter,1358,C46,Four Knights Game,142,2017-08-06,00:40:00,dbschultz
249,249,Rated,23,OFT,white,5+5,thegrim123321,1370,ziogasparo14,1257,C61,Ruy Lopez: Bird Variation,113,2017-08-16,02:20:00,thegrim123321
257,257,Unrated,87,OFT,white,10+0,eideral,1580,krishubhi,1555,A10,English Opening: Anglo-Scandinavian Defense,25,2017-08-17,22:46:40,eideral
265,265,Rated,177,OFT,white,10+3,au118,1535,eideral,1609,C58,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line,74,2017-03-23,17:26:40,au118
287,287,Rated,72,OFT,black,10+0,nadanadora,1611,xtreh,1945,E20,Nimzo-Indian Defense: Ragozin Variation,334,2017-08-13,13:13:20,xtreh
290,290,Rated,6,OFT,black,10+2,mejjes,1217,nadanadora,1611,C46,Four Knights Game,394,2017-08-12,15:00:00,nadanadora
366,366,Rated,26,OFT,black,15+15,halma,884,rustam9,951,A01,Nimzo-Larsen Attack: Modern Variation,67,2017-08-17,00:33:20,rustam9
367,367,Rated,4,OFT,black,15+15,rustam9,945,b3nszy,1070,C40,King's Knight Opening,125,2017-08-13,16:00:00,b3nszy
370,370,Rated,163,OFT,draw,10+0,rustam9,972,granham,1247,A20,English Opening: King's English Variation,275,2017-08-10,18:33:20,
374,374,Rated,80,OFT,black,10+0,rustam9,998,juniohispano,937,C00,French Defense: Pelikan Variation,61,2017-08-09,23:06:40,juniohispano
376,376,Rated,89,OFT,draw,10+0,rustam9,1025,madmadge,1153,C01,French Defense: Mediterranean Defense,128,2017-08-09,09:13:20,
378,378,Rated,8,OFT,black,10+0,gabriel_ml,998,rustam9,1016,C44,Ponziani Opening: Romanishin Variation,18,2017-08-08,22:06:40,rustam9
379,379,Rated,101,OFT,white,10+0,gus247,1127,rustam9,1044,C20,King's Pawn Game: Wayward Queen Attack,83,2017-08-08,22:06:40,gus247
380,380,Rated,65,OFT,white,10+0,rustam9,1020,cromanoide,1200,D02,Queen's Pawn Game: Zukertort Variation,180,2017-08-07,23:53:20,rustam9
402,402,Rated,116,OFT,black,16+0,agabek1948,1469,jutton1,1357,C02,French Defense: Advance Variation |  Paulsen Attack,112,2017-08-23,14:53:20,jutton1
414,414,Unrated,41,OFT,white,10+0,jonikss,1245,energique,1450,B12,Caro-Kann Defense: Advance Variation,205,2017-08-16,13:26:40,jonikss
